Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<bool>::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      6.11     0.00        2     0.00     0.00  std::_Iter_base<point*, false>::_S_base(point*)
  0.00      6.11     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<edge, std::allocator<edge> >*>(std::vector<edge, std::allocator<edge> >*, std::vector<edge, std::allocator<edge> >*)
  0.00      6.11     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<point*>(point*, point*)
  0.00      6.11     0.00        2     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_allocate(unsigned long)
  0.00      6.11     0.00        2     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_Vector_impl::_Vector_impl(std::allocator<point> const&)
